date,game,map,match_type,my_duration,my_rank,rp_earned,premade_squad,voice_chat,squad_placed,teamate_count,my_quit,teamate_quit_count,my_legend,teamate_1_legend,teamate_2_legend,my_damage,teamate_1_damage,teamate_2_damage,my_kills,teamate_1_kills,teamate_2_kills,my_assists,teamate_1_assists,teamate_2_assists,my_knocks,teamate_1_knocks,teamate_2_knocks,my_revives,teamate_1_revives,teamate_2_revives,my_respawns,teamate_1_respawns,teamate_2_respawns,,
11/09/2022,75,broken moon,ranked,626,S1,49,no,no,8,2,0,0,Vantage,Valkyrie,Fuse,499,316,331,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,
11/09/2022,76,broken moon,ranked,NA,S1,-11,no,no,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/09/2022,77,broken moon,ranked,NA,S1,-5,no,no,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/09/2022,78,broken moon,ranked,1312,S1,306,no,yes,1,2,0,0,Catalyst,Vantage,Seer,592,1209,1365,2,3,4,3,3,2,2,3,4,0,0,1,0,0,0,,
11/09/2022,79,broken moon,ranked,870,G4,162,yes,yes,5,2,0,0,Catalyst,Vantage,Seer,507,417,978,0,2,3,1,1,0,0,2,4,0,1,1,0,0,0,,
11/09/2022,80,broken moon,ranked,119,G4,-34,yes,yes,19,2,0,0,Pathfinder,Vantage,Seer,11,26,338,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,
11/09/2022,81,broken moon,ranked,NA,G4,-34,yes,yes,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
11/09/2022,82,broken moon,ranked,894,G4,51,no,no,5,2,0,0,Pathfinder,Catalyst,Bloodhound,782,958,385,1,3,0,0,1,1,1,3,0,0,1,0,0,0,0,,
11/09/2022,83,broken moon,ranked,589,G4,-14,no,no,7,2,0,0,Vantage,Octane,Bloodhound,109,213,428,0,0,3,0,1,0,0,0,3,0,0,0,0,1,0,,
11/09/2022,84,broken moon,ranked,151,G4,-32,no,no,14,2,0,0,Vantage,Crypto,Wraith,416,75,148,1,0,1,0,1,1,3,0,1,0,0,0,0,0,0,,
